id,type,ba_zone,commodity,fac_id,fac_zip,lat,lon,cod,ref_cap,cap_dec,prod_2018,int_coal,int_met_coal,int_coke,int_ddfo,int_ng,int_hgl,int_elec,int_opet,int_rfo,int_ng_feed,int_coal_feed,int_coke_feed,int_h2_feed,int_lighthgl_feed,int_medhgl_feed,int_heavypchem_feed,int_m_scrap,int_m_ore,int_m_limestone,int_m_cullet,int_m_silica,int_m_soda_ash,co2_rate_proc,co2_rate_comb,newfac_ref_cap,cost_cap,cost_fom,cost_vom,ccs_cap_rate_comb,ccs_cap_rate_prod
* Vintage,Technology,BA Region,Sector,Faciity ID,Zip Code,Latitude,Longitude,Commercial operation date,Capacity [metric-tons/yr],fixed changes to capacity post 2022 [metric-tons/yr],Production in 2018 [metric_ton],Industrial Coal intensity [MMBtu-fuel-input/metric_ton-output],Metallurgical Coal intensity  [MMBtu-fuel-input/metric_ton-output],Coke intensity [MMBtu-fuel-input/metric_ton-output],Distilate Fuel Oil intensity [MMBtu-fuel-input/metric_ton-output],Natural gas intensity [MMBtu-fuel-input/metric_ton-output],Propane intensity [MMBtu-fuel-input/metric_ton-output],Electricity intensity [MWh-input/metric_ton-output],Other Petroleum intensity [MMBtu-fuel-input/metric_ton-output],Residual Fuel Oil intensity [MMBtu-fuel-input/metric_ton-output],Natural gas feedstock intensity  [MMBtu-fuel-input/metric_ton-output],Industrial Coal feedstock intensity  [MMBtu-fuel-input/metric_ton-output],Coke feedstock intensity  [MMBtu-fuel-input/metric_ton-output],Hydrogen feedstock intensity [metric_ton-h2/metric_ton-output],Ethane feedstock intensity  [MMBtu-input/metric_ton-output],Propane/Butane feedstock intensity  [MMBtu-input/metric_ton-output],Heavy feedstock intensity  [MMBtu-input/metric_ton-output],Scrap intensity [metric_ton-scrap/metric_ton-output],Ore intensity [metric_ton-ore/metric_ton-output],Limestone intensity [metric_ton-input/metric_ton-output],Cullet intensity [tonne-scrap/tonne-output],Silica intensity [tonne-input/tonne-output],Soda ash intensity [tonne-input/tonne-output],Carbon emission process intensity [CO2 metric_ton/metric_ton-output],Carbon emission combustion intensity [CO2 metric_ton/metric_ton-output],Capacity of reference facility for new vintages [metric tons/yr],CAPEX [2018$/(metric ton/yr)],Fixed O&M cost [2018$/metric_ton],Variable O&M cost [2018$/metric_ton],Carbon capture rate from combustion [%],Carbon capture rate from process [%]
tech33,port,p53,cement,1002665,66720,37.698786,-95.459748,1908,1650000,0,1430000,1.660053993,0,0.011067027,0.011067027,0.314536546,0.011067027,0.141108561,1.60471886,0,0,0,0,0,0,0,0,0,0,1.159973256,,,,0.455175,0.340416016,,167.3941293,19.78200491,1.6,0,0
tech34,port,p63,cement,1002421,76065,32.51993,-97.0068,1966,960000,0,940000,1.450754765,0,0.060448115,0.030224058,0.773099579,0.006044812,0.141895672,1.088066074,0,0,0,0,0,0,0,0,0,0,1.159973256,,,,0.455175,0.31185037,,167.3941293,19.78200491,1.6,0,0
tech35,port,p7,cement,1002527,97905,44.542325,-117.42053,1979,1100000,0,870000,1.795251623,0,0.023912752,0.023912752,0.61227529,0.023912752,0.112174447,1.508011363,0,0,0,0,0,0,0,0,0,0,1.159973256,,,,0.455175,0.374078582,,167.3941293,19.78200491,1.6,0,0
tech36,port,p41,cement,1007552,68037,41.005565,-96.154917,1929,960000,0,920000,1.61094166,0,0.010739611,0.010739611,0.305231051,0.010739611,0.141108561,1.557243604,0,0,0,0,0,0,0,0,0,0,1.159973256,,,,0.455175,0.34330322,,167.3941293,19.78200491,1.6,0,0
tech37,port,p17,cement,1002531,59634,46.54448,-111.92062,1964,300000,0,230000,4.206201257,0,0.056026601,0.056026601,1.434536008,0.056026601,0.112174447,3.533209056,0,0,0,0,0,0,0,0,0,0,1.159973256,,,,0.455175,0.809093409,,167.3941293,19.78200491,1.6,0,0
tech38,port,p1,cement,1002537,98134,47.56799,-122.34255,1920,760000,0,440000,1.814846609,0,0.024173757,0.024173757,0.618958212,0.024173757,0.112174447,1.524471152,0,0,0,0,0,0,0,0,0,0,1.159973256,,,,0.455175,0.404597292,,167.3941293,19.78200491,1.6,0,0
tech39,port,p85,cement,1007606,71836,33.6936,-94.4166,1958,1390000,0,1120000,1.85191921,0,0.0771633,0.03858165,0.986878,0.00771633,0.141895672,1.388939408,0,0,0,0,0,0,0,0,0,0,1.159973256,,,,0.455175,0.388753831,,167.3941293,19.78200491,1.6,0,0
tech40,port,p65,cement,1007208,78266,29.61214,-98.375075,1981,990000,0,720000,2.953986326,0,0.123082764,0.061541382,1.574163766,0.012308276,0.141895672,2.215489744,0,0,0,0,0,0,0,0,0,0,1.159973256,,,,0.455175,0.438427289,,167.3941293,19.78200491,1.6,0,0
tech41,port,p101,cement,1005458,32669,29.690671,-82.582134,2000,870000,0,540000,4.92437374,0,0.205182239,0.10259112,2.624172848,0.020518224,0.141895672,3.693280305,0,0,0,0,0,0,0,0,0,0,1.159973256,,,,0.455175,0.755144734,,167.3941293,19.78200491,1.6,0,0
tech42,port,p96,cement,1002750,29448,33.226205,-80.452832,1974,1120000,0,800000,1.178865445,0,0.049119394,0.024559697,0.628211191,0.004911939,0.141895672,0.884149084,0,0,0,0,0,0,0,0,0,0,1.159973256,,,,0.455175,0.263881673,,167.3941293,19.78200491,1.6,0,0
